| end of epoch  96 | time:  2.23s | train_loss 0.0005 | valid rse 0.6356 | valid rae 0.7089 | valid corr  0.9185 | valid smape  0.1441 | focus_rrse 0.6456 | obj 0.6426
| end of epoch  97 | time:  2.23s | train_loss 0.0005 | valid rse 0.5541 | valid rae 0.6301 | valid corr  0.9184 | valid smape  0.1433 | focus_rrse 0.6937 | obj 0.6518
| end of epoch  98 | time:  2.30s | train_loss 0.0006 | valid rse 0.6132 | valid rae 0.6818 | valid corr  0.9196 | valid smape  0.1417 | focus_rrse 0.6655 | obj 0.6498
| end of epoch  99 | time:  2.27s | train_loss 0.0004 | valid rse 0.6730 | valid rae 0.7493 | valid corr  0.9189 | valid smape  0.1435 | focus_rrse 0.7019 | obj 0.6932
| end of epoch 100 | time:  2.28s | train_loss 0.0006 | valid rse 0.6578 | valid rae 0.7325 | valid corr  0.9187 | valid smape  0.1440 | focus_rrse 0.7137 | obj 0.6969
| end of epoch 101 | time:  2.24s | train_loss 0.0005 | valid rse 0.5049 | valid rae 0.5827 | valid corr  0.9159 | valid smape  0.1504 | focus_rrse 0.7505 | obj 0.6768
| end of epoch 102 | time:  2.22s | train_loss 0.0004 | valid rse 0.7249 | valid rae 0.8073 | valid corr  0.9181 | valid smape  0.1440 | focus_rrse 0.7263 | obj 0.7258
| end of epoch 103 | time:  2.20s | train_loss 0.0004 | valid rse 0.6335 | valid rae 0.7060 | valid corr  0.9171 | valid smape  0.1431 | focus_rrse 0.6622 | obj 0.6536
| end of epoch 104 | time:  2.24s | train_loss 0.0003 | valid rse 0.6091 | valid rae 0.6753 | valid corr  0.9152 | valid smape  0.1444 | focus_rrse 0.6442 | obj 0.6337
| end of epoch 105 | time:  2.20s | train_loss 0.0003 | valid rse 0.5970 | valid rae 0.6783 | valid corr  0.9144 | valid smape  0.1488 | focus_rrse 0.6783 | obj 0.6539
| end of epoch 106 | time:  2.26s | train_loss 0.0004 | valid rse 0.6751 | valid rae 0.7387 | valid corr  0.9171 | valid smape  0.1438 | focus_rrse 0.6761 | obj 0.6758
| end of epoch 107 | time:  2.26s | train_loss 0.0005 | valid rse 0.6498 | valid rae 0.7336 | valid corr  0.9177 | valid smape  0.1409 | focus_rrse 0.6716 | obj 0.6651
| end of epoch 108 | time:  2.29s | train_loss 0.0004 | valid rse 0.6138 | valid rae 0.6834 | valid corr  0.9172 | valid smape  0.1432 | focus_rrse 0.6543 | obj 0.6421
| end of epoch 109 | time:  2.30s | train_loss 0.0006 | valid rse 0.7333 | valid rae 0.7958 | valid corr  0.9170 | valid smape  0.1356 | focus_rrse 0.7369 | obj 0.7358
| end of epoch 110 | time:  2.24s | train_loss 0.0004 | valid rse 0.6526 | valid rae 0.7314 | valid corr  0.9168 | valid smape  0.1450 | focus_rrse 0.7115 | obj 0.6938
| end of epoch 111 | time:  2.36s | train_loss 0.0005 | valid rse 0.6242 | valid rae 0.6998 | valid corr  0.9154 | valid smape  0.1427 | focus_rrse 0.6866 | obj 0.6679
| end of epoch 112 | time:  2.20s | train_loss 0.0003 | valid rse 0.6223 | valid rae 0.6883 | valid corr  0.9164 | valid smape  0.1418 | focus_rrse 0.6585 | obj 0.6476
| end of epoch 113 | time:  2.21s | train_loss 0.0003 | valid rse 0.6625 | valid rae 0.7355 | valid corr  0.9166 | valid smape  0.1430 | focus_rrse 0.6957 | obj 0.6857
| end of epoch 114 | time:  2.25s | train_loss 0.0004 | valid rse 0.5915 | valid rae 0.6592 | valid corr  0.9150 | valid smape  0.1463 | focus_rrse 0.7124 | obj 0.6761
| end of epoch 115 | time:  2.30s | train_loss 0.0005 | valid rse 0.6273 | valid rae 0.6958 | valid corr  0.9169 | valid smape  0.1457 | focus_rrse 0.7221 | obj 0.6937
| end of epoch 116 | time:  2.25s | train_loss 0.0004 | valid rse 0.5820 | valid rae 0.6517 | valid corr  0.9169 | valid smape  0.1420 | focus_rrse 0.6670 | obj 0.6415
| end of epoch 117 | time:  2.24s | train_loss 0.0003 | valid rse 0.6511 | valid rae 0.7347 | valid corr  0.9173 | valid smape  0.1432 | focus_rrse 0.6930 | obj 0.6804
| end of epoch 118 | time:  2.21s | train_loss 0.0003 | valid rse 0.6433 | valid rae 0.7103 | valid corr  0.9174 | valid smape  0.1410 | focus_rrse 0.6686 | obj 0.6610
| end of epoch 119 | time:  2.24s | train_loss 0.0004 | valid rse 0.6853 | valid rae 0.7532 | valid corr  0.9181 | valid smape  0.1401 | focus_rrse 0.6864 | obj 0.6860
